cancer_id,variable,coef,HR,HR_lower,HR_upper,p
BRCA,ssgsea_nv_score,-0.12462338030801322,0.88282933089182,0.7741177403687062,1.0068076041141785,0.06305948473938039
BRCA,age,0.27572195865594534,1.317481498770634,1.1469428695852988,1.5133774712166053,9.68264054875578e-05
BRCA,stage,0.4025457803819197,1.495627394050976,1.2366046131501758,1.80890583622953,3.344414693853148e-05
BRCA,er_positive,-0.14132586090701282,0.8682063510882314,0.6270587629884281,1.2020919131686734,0.3946201258363784
BRCA,her2_positive,0.12759769207101226,1.136095850376528,0.7710797328558096,1.6739044306902138,0.5187434145959858
KIRC,ssgsea_nv_score,-0.0854098093941788,0.9181359465572999,0.8406663898922588,1.0027445208897978,0.05756117066996545
KIRC,age,0.334918575363846,1.397826563069262,1.2711038491470779,1.537182899519282,4.936814171919092e-12
KIRC,stage,0.4604527604598714,1.5847913534461786,1.4682639715491206,1.7105668208339242,3.1973701898142435e-32
LUAD,ssgsea_nv_score,0.12598967067410605,1.134270451973364,0.9849370551631543,1.306245360021245,0.08024968975679947
LUAD,age,0.11266711799385179,1.1192592896511637,0.9689705955846818,1.2928579702818712,0.125646943054482
LUAD,stage,0.3734738238032491,1.4527725349860603,1.2503608639119215,1.6879511342083207,1.0683361627702758e-06
LUAD,subtype_squamoid,0.2442641279116692,1.2766814931771158,0.9060369553672443,1.7989505012632685,0.16270956579579343
LUAD,subtype_magnoid,0.21574414002773032,1.2407848712008973,0.8661421008352577,1.7774763461057679,0.2394425697059944
LAML,ssgsea_nv_score,0.05185886684045437,1.0532270867570102,0.8571652392240188,1.2941347193253925,0.6216981399489517
LAML,age,0.40351796823964287,1.4970821318677925,1.201848101912689,1.8648404120212487,0.00031758460899607415
LAML,cytogenetic_intermediate,0.47481910805579974,1.607723346978348,0.9883636214077234,2.615205886207928,0.05577213944989455
LAML,cytogenetic_poor,0.621298612544729,1.8613436372430041,1.0434828647890981,3.3202271477694634,0.0353686004315723
SKCM,ssgsea_nv_score,0.07554863615832659,1.0784756793564105,0.902780925976553,1.2883632756253862,0.40501850393136674
SKCM,age,0.14965726078104635,1.1614361048000155,0.9772364709390744,1.3803555901232134,0.08939238846194163
SKCM,stage,0.3800554362735492,1.4623656552897049,1.2090072233367979,1.7688176451656763,9.031924997551289e-05
PAAD,ssgsea_nv_score,0.258382670304847,1.2948342184358892,0.9652206285453349,1.7370076888630577,0.08474357317735388
PAAD,age,0.07935822989353646,1.0825920694566005,0.83717029064766,1.3999607988281886,0.5451732096025482
PAAD,stage,0.20994797090974285,1.2336138744793839,0.631138959036,2.4112014787241707,0.5392136843147568
