lineage,gini,selectivity,mean_pli,mean_centrality
Lung,0.25926476623098615,0.1664993782746763,0.3213845335932873,0.2528513219010502
Lymphoid,0.1707354903029505,0.31087331323701445,0.3990283843040859,0.11936281215594921
Skin,0.30848628263478767,0.029146454027799654,0.30058731783093423,0.36177994550647835
CNS/Brain,0.3417374028999397,0.1220653594808266,0.3440217505112065,0.1921754871080272
Esophagus/Stomach,0.2654885480874115,0.16219523681765247,0.33539500412561124,0.23692121096932484
Bowel,0.25537816641958605,0.2206284926964762,0.378633883352007,0.14535945753193072
Breast,0.23604872554493772,0.2356836444120513,0.36737453277360255,0.1608930972694083
Head and Neck,0.26391573223473874,0.190565454462576,0.352105735554044,0.19341307774864122
Bone,0.2721826543483826,0.18543775920395247,0.34881380740033346,0.19356577904733133
Myeloid,0.24222309868660533,0.34941903314798967,0.0602306011217668,0.34812726704363833
Soft Tissue,0.34494336603897846,0.06368951715047518,0.29841410966443993,0.2929530071461065
Ovary/Fallopian Tube,0.23008089390438408,0.22469003989877748,0.3717344583640776,0.1734946078327608
Kidney,0.3187881353079597,0.15651945812252174,0.3542144060543067,0.17047800051521192
Pancreas,0.2568337422632441,0.20501194248781657,0.36267872588664085,0.1754755893622985
Peripheral Nervous System,0.2289021657129012,0.2719158511591334,0.37471170130537135,0.12447028182259388
Biliary Tract,0.26930023548732235,0.19237855382812896,0.35344927619215644,0.18487193449239225
Uterus,0.24025903042309904,0.22576901401164523,0.35640070394155715,0.17757125162369852
Pleura,0.2670005814356147,0.2036678694070627,0.3521820171361787,0.1771495320211438
Prostate,0.32465777496579645,0.07641425149838439,0.2907823036921663,0.3081456698436529
Testis,0.24714744177988848,0.2967378411929101,0.2357654383671967,0.2203492786600047
