thresh_a,thresh_b,n_NV-A,n_NV-B,n_NV-C,n_changes,pct_stable
0.35,0.25,19,0,1,1,95.0
0.35,0.26,19,0,1,1,95.0
0.35,0.27,19,0,1,1,95.0
0.35,0.28,19,0,1,1,95.0
0.35,0.29,19,0,1,1,95.0
0.35,0.3,19,0,1,1,95.0
0.35,0.31,19,0,1,1,95.0
0.35,0.32,19,0,1,1,95.0
0.35,0.33,19,0,1,1,95.0
0.35,0.34,19,0,1,1,95.0
0.35,0.35,19,0,1,1,95.0
0.36,0.25,19,0,1,1,95.0
0.36,0.26,19,0,1,1,95.0
0.36,0.27,19,0,1,1,95.0
0.36,0.28,19,0,1,1,95.0
0.36,0.29,19,0,1,1,95.0
0.36,0.3,19,0,1,1,95.0
0.36,0.31,19,0,1,1,95.0
0.36,0.32,19,0,1,1,95.0
0.36,0.33,19,0,1,1,95.0
0.36,0.34,19,0,1,1,95.0
0.36,0.35,19,0,1,1,95.0
0.36,0.36,19,0,1,1,95.0
0.37,0.25,19,0,1,1,95.0
0.37,0.26,19,0,1,1,95.0
0.37,0.27,19,0,1,1,95.0
0.37,0.28,19,0,1,1,95.0
0.37,0.29,19,0,1,1,95.0
0.37,0.3,19,0,1,1,95.0
0.37,0.31,19,0,1,1,95.0
0.37,0.32,19,0,1,1,95.0
0.37,0.33,19,0,1,1,95.0
0.37,0.34,19,0,1,1,95.0
0.37,0.35,19,0,1,1,95.0
0.37,0.36,19,0,1,1,95.0
0.37,0.37,19,0,1,1,95.0
0.38,0.25,18,1,1,0,100.0
0.38,0.26,18,1,1,0,100.0
0.38,0.27,18,1,1,0,100.0
0.38,0.28,18,1,1,0,100.0
0.38,0.29,18,1,1,0,100.0
0.38,0.3,18,1,1,0,100.0
0.38,0.31,18,1,1,0,100.0
0.38,0.32,18,1,1,0,100.0
0.38,0.33,18,1,1,0,100.0
0.38,0.34,18,1,1,0,100.0
0.38,0.35,18,1,1,0,100.0
0.38,0.36,18,1,1,0,100.0
0.38,0.37,18,1,1,0,100.0
