lineage,PCA,Equal,Theory,Clinical
Lung,NV-A,NV-A,NV-B,NV-A
Lymphoid,NV-A,NV-A,NV-A,NV-A
Skin,NV-A,NV-A,NV-A,NV-A
CNS/Brain,NV-B,NV-B,NV-C,NV-B
Esophagus/Stomach,NV-A,NV-A,NV-A,NV-A
Bowel,NV-A,NV-A,NV-A,NV-A
Breast,NV-A,NV-A,NV-A,NV-A
Head and Neck,NV-A,NV-A,NV-A,NV-A
Bone,NV-A,NV-A,NV-A,NV-A
Myeloid,NV-A,NV-A,NV-A,NV-A
Soft Tissue,NV-A,NV-B,NV-B,NV-A
Ovary/Fallopian Tube,NV-A,NV-A,NV-A,NV-A
Kidney,NV-A,NV-A,NV-A,NV-A
Pancreas,NV-A,NV-A,NV-A,NV-A
Peripheral Nervous System,NV-A,NV-A,NV-B,NV-A
Biliary Tract,NV-A,NV-A,NV-A,NV-A
Uterus,NV-A,NV-A,NV-A,NV-A
Pleura,NV-A,NV-A,NV-A,NV-A
Prostate,NV-A,NV-A,NV-A,NV-A
Testis,NV-C,NV-C,NV-C,NV-C
