label,n,n_events,HR,HR_lower,HR_upper,p,concordance,cancer_id,stage_group,error
BRCA Early (I-II),1024,196.0,0.8130729862911373,0.7155694085632219,0.9238624137996247,0.0014982745976218114,0.5501296928327645,BRCA,Early (I-II),
BRCA Advanced (III-IV),323,88.0,0.9942691341649853,0.8024074526071336,1.2320063926888818,0.958096658116571,0.5229296027530486,BRCA,Advanced (III-IV),
KIRC Early (I-II),595,125.0,0.9472394537791503,0.7983684554988975,1.1238702839719876,0.5343802953953503,0.5176482633289821,KIRC,Early (I-II),
KIRC Advanced (III-IV),449,257.0,0.8722787800933702,0.7709948703857927,0.9868681354785818,0.03001649581221336,0.5237904063127293,KIRC,Advanced (III-IV),
LUAD Early (I-II),486,177.0,1.289238658427772,1.111672864013663,1.4951667637037982,0.0007788938262657486,0.5747283452343993,LUAD,Early (I-II),
LUAD Advanced (III-IV),143,95.0,1.0544080340838136,0.8767804050420032,1.2680213836293839,0.5735209470792342,0.5313576843556168,LUAD,Advanced (III-IV),
SKCM Early (I-II),110,69.0,1.2238044453990784,0.9589989120063365,1.561729947581682,0.10449537904034824,0.5456127268207805,SKCM,Early (I-II),
SKCM Advanced (III-IV),95,59.0,1.0585312252387893,0.8171248012749057,1.3712573073994434,0.666679733065209,0.5351014040561622,SKCM,Advanced (III-IV),
PAAD Early (I-II),83,49.0,1.2821295678464146,0.9511380023758118,1.728304646265744,0.10285629133241989,0.5791111111111111,PAAD,Early (I-II),
PAAD Advanced (III-IV),3,,,,,,,PAAD,Advanced (III-IV),insufficient_data
